region,province,municipality,barangay,agency,name,contact
"II","Cagayan","Penablanca","","hospital","CVMC COVID-19 Hotline","078-373-0010"
"II","Cagayan","Penablanca","","lgu","Mun. Health Officer","09178870865"
"II","Cagayan","Penablanca","","lgu","Mun. Mayor Hon. Intoy Taguinod","09956609409"
"II","Cagayan","Penablanca","","pnp","Chief of Police Sir Rey Lopez","09171887755"
"II","Cagayan","Penablanca","","lgu","ABC Fed. Pres. Hon. Tin Taguinod","09669747324"
"II","Cagayan","Tuguegarao","","lgu","Tuguegarao City Command Center","09168872897"
"II","Cagayan","Tuguegarao","","lgu","Tuguegarao City Command Center","09563477981"
"II","Cagayan","Tuguegarao","","lgu","Tuguegarao City Command Center","09563477979"
"II","Cagayan","Tuguegarao","","lgu","Tuguegarao City Health Office","09171631358"
"II","Cagayan","Tuguegarao","","lgu","Dr. James Guzman","09171631358"
"II","Cagayan","Tuguegarao","","hospital","TCPGH","09068493664"
"II","Cagayan","Tuguegarao","","hospital","TCPGH","09068493668"
"II","Cagayan","Tuguegarao","","hospital","TCPGH","09068493659"
